brand,size,price,query,image,link
Gildan,XL,$24.99,vintage shirts,https://media-photos.depop.com/b1/48299678/3684729227_b0c5b898d7a048b090ee4d92303114b8/P0.jpg,https://www.depop.com/products/sowdbyrocco-vintage-2000s-y2k-black-boot-1fcf/
Aeropostale,M,$19.99,vintage shirts,https://media-photos.depop.com/b1/10098452/3696439199_4b49ea5025704b1aa1e2c2dc4ea1cdde/P0.jpg,https://www.depop.com/products/thevintagnblock-vintage-early-2000s-y2k-aeropostale-9304/
Arrow,M,$18.00,vintage shirts,https://media-photos.depop.com/b1/41447391/3691171015_c72d4930d73e44ceaef8eddc7945e4fe/P0.jpg,https://www.depop.com/products/redrockvntb-vintage-y2k-arrow-plaid-button-46cd/
Other,S,$18.00,vintage shirts,https://media-photos.depop.com/b1/13978731/3693089262_2978f5a1ae514320a6fa2ae4bb3003dc/P0.jpg,https://www.depop.com/products/dicgorea_-vintage-multicolor-plaid-button-up-shirt-b343/
Harley Davidson,L,$16.00,vintage shirts,https://media-photos.depop.com/b1/41136868/3697909347_fb13662867da4d8681b8a76641b07dc4/P0.jpg,https://www.depop.com/products/dunksinthedir7-womens-vintage-2004-harley-davidson-6a96/
Other,L,$7.00,vintage shirts,https://media-photos.depop.com/b1/228356295/3693694659_296dd13cd4f4416c813fbbf3bb83b8a6/P0.jpg,https://www.depop.com/products/mishylds-vintage-sheer-bowling-style-polo-98a1/
Westbound,L,$19.99,vintage shirts,https://media-photos.depop.com/b1/22137699/3696687912_8d11c5997c9b43fc908f777ab474dc8e/P0.jpg,https://www.depop.com/products/b00m-vintage-60s-westbound-multicoloured-plaid-e6d9/
Van Heusen,M,$14.99,vintage shirts,https://media-photos.depop.com/b1/341701059/3692469821_41c60f9153b4487095c609bc801b144e/P0.jpg,https://www.depop.com/products/pwriighl-dope-boxy-cropped-red-and-ed64/
Polo Ralph Lauren,L,$13.00,vintage shirts,https://media-photos.depop.com/r1/236225488/3693644090_b4376c1c3bd142b18bc59b969b8a20b7/P0.jpg,https://www.depop.com/products/chefs_kissuthrift-vintage-ralph-lauren-peach-blake-8c7c/
J.Crew,M,$25.00,vintage shirts,https://media-photos.depop.com/b1/40595026/3697228276_ca854434af1744a69df810ddb7913e4a/P0.jpg,https://www.depop.com/products/natesvintaguwear-very-nice-vintage-heavy-cotton-3934/
Club Room,L,$21.99,vintage shirts,https://media-photos.depop.com/b1/16505617/3696656780_4006bb29ba9d41a29e03a150de2c996b/P0.jpg,https://www.depop.com/products/thecincy8xchange-vintage-preppy-striped-rugby-shirt-78db/
Other,M,$29.00,vintage shirts,https://media-photos.depop.com/b1/33720569/3697597679_ee822d010ddc45f6ad5a17d995f1b9da/P0.jpg,https://www.depop.com/products/chrisxian3051-1960s-mens-work-shirt-0a80/
Route 66,M,$11.00,vintage shirts,https://media-photos.depop.com/b1/15672660/3697510306_c6cff99b37924c0ba6572a37c1170dac/P0.jpg,https://www.depop.com/products/livjngmorganism-a-capsule-closer-must-have-34c8/
Abercrombie & Fitch,L,$21.00,vintage shirts,https://media-photos.depop.com/b1/49600980/3696811984_207157fb81454cb8b1e0af79d7d8c1bf/P0.jpg,https://www.depop.com/products/adr8ano0-vintage-abercrombie-fitch-grey-53a4/
Other,L,$27.99,vintage shirts,https://media-photos.depop.com/b1/17403105/3685433802_5a41317a05f34661956f46de803f0933/P0.jpg,https://www.depop.com/products/pass4rwrd-vintage-60s70s-mod-disco-collar-6913/
Other,L,$15.00,vintage shirts,https://media-photos.depop.com/b1/40595026/3688611777_d268031dadd347d1ba5b74b22ada6106/P0.jpg,https://www.depop.com/products/natesvintzgewear-vintage-90s-rayon-button-up-a3d2/
Old Navy,M,$8.50,vintage shirts,https://media-photos.depop.com/b1/36224657/3698195705_72800db6ea134b249b9ce5bf13367ee9/P0.jpg,https://www.depop.com/products/ayvejsshops-vintage-red-button-up-thermal-664a/
Other,M,$20.00,vintage shirts,https://media-photos.depop.com/b1/48271075/3684510043_84484d3241164b6ca36241120d7df063/P0.jpg,https://www.depop.com/products/mxg1cant-vintage-barnes-storm-patterned-button-f31c/
Levi's,"36""",$24.99,vintage jeans,https://media-photos.depop.com/b1/43745172/3689918827_ca18c7ac47f942c9b51f52463b2adafb/P0.jpg,https://www.depop.com/products/t0vtg-2000s-vintage-levis-bootcut-denim-2660/
BKE,Other,$22.00,vintage jeans,https://media-photos.depop.com/b1/444129294/3696090637_6c21b9d1f03846e89a8eb14268f19e1b/P0.jpg,https://www.depop.com/products/alexandrau718_-vintage-bke-low-rise-flare-9f73/
American Eagle Outfitters,4,$10.00,vintage jeans,https://media-photos.depop.com/b1/339338598/3697820616_c57da75c2f684847b2607bec8b8a6358/P0.jpg,https://www.depop.com/products/srv_zaura-american-eagle-vintage-blue-bootcut-5653/
Tommy Hilfiger,5,$18.00,vintage jeans,https://media-photos.depop.com/b1/208102826/3685234718_a87521306e2a4e9b83821312851a8fea/P0.jpg,https://www.depop.com/products/ellena04pm-y2k-vintage-tommy-hilfiger-jeans-ee19/
Miss Me,"24""",$24.99,vintage jeans,https://media-photos.depop.com/b1/10098452/3693903833_982d07c25ba841fdac2ed3013d70c0aa/P0.jpg,https://www.depop.com/products/thevintage9lock-vintage-2000s-y2k-miss-me-8f13/
Maurices,3,$18.99,vintage jeans,https://media-photos.depop.com/b1/30017290/3693727946_385ff3f2eb254f33be0200aa43f41b1b/P0.jpg,https://www.depop.com/products/willa0th-womans-y2k-vintage-ultra-low-5148/
Other,1,$14.00,vintage jeans,https://media-photos.depop.com/b1/44188841/3696581974_90682d3ae92a46f9b520830c1691a587/P0.jpg,https://www.depop.com/products/hannahthe4izzler-whooz-blooz-bootcut-jeans-size-e2a3/
Utility,"38""",$15.00,vintage jeans,https://media-photos.depop.com/b1/45281662/3689774283_fb998e831ec743b3bc64131fd08131e9/P0.jpg,https://www.depop.com/products/denim_aod_dust_vntg-baggy-utility-light-wash-jeans-5019/
Levi's,"34""",$15.00,vintage jeans,https://media-photos.depop.com/b1/363771234/3700494286_42dab33337be4682a64b0d0dae0e68e0/P0.jpg,https://www.depop.com/products/jpvintapes-baggy-wideleg-vintage-y2k-dark-940d/
American Vintage,"34""",$20.00,vintage jeans,https://media-photos.depop.com/r1/40354135/3693877734_6d9c66c15d8f48eb85c75795bb2ccaac/P0.jpg,https://www.depop.com/products/be0ksun-vintage-black-faded-dodeca-loose-d897/
Abercrombie & Fitch,"36""",$40.00,vintage jeans,https://media-photos.depop.com/b1/34918491/3700778617_90ad9ede71184d5ab3be7392468634dd/P0.jpg,https://www.depop.com/products/leveln3ne-vintage-90s-abercrombie-and-fitch-b483/
American Vintage,4,$22.00,vintage jeans,https://media-photos.depop.com/b1/32079371/3697599171_53d7abb13e9040949e368eb5b27f3089/P0.jpg,https://www.depop.com/products/evil_twwnk-2000s-baggy-flare-jeans-beautiful-c5c1/
American Eagle Outfitters,8,$15.00,vintage jeans,https://media-photos.depop.com/b1/45931617/3691044153_f92ffac421f646ac94b787f412f28cd4/P0.jpg,https://www.depop.com/products/emilyvody2k-american-eagle-vintage-low-rise-347b/
American Vintage,"29""",$26.00,vintage jeans,https://media-photos.depop.com/b1/44082462/3696370419_e03eb9b8ac2043229c134d86b1096cbd/P0.jpg,https://www.depop.com/products/shurcedbytato-vintage-2000s-low-rise-bootcut-a9c9/
Levi's,"36""",$20.00,vintage jeans,https://media-photos.depop.com/b1/391543497/3694205823_4c8bce8c1d264fe7a454c49584434880/P0.jpg,https://www.depop.com/products/812stomagefindz-vintage-80s-levis-505-blue-a76c/
Levi's,"36""",$24.00,vintage jeans,https://media-photos.depop.com/b1/40538649/3698892400_6c46ae2a06e24d56a825fb549d2973b5/P0.jpg,https://www.depop.com/products/crsecopdhand-vintage-denim-white-tab-levis-8da6/
Polo Ralph Lauren,12,$26.00,vintage jeans,https://media-photos.depop.com/b1/45547276/3693870346_71fb12029992440c91fce1d8a66a1345/P0.jpg,https://www.depop.com/products/goos7ykyun-vintage-y2k-polo-jeans-co-1fd4/
American Vintage,"30""",$25.00,vintage jeans,https://media-photos.depop.com/b1/32079371/3697580744_1b3167ed3abe48659ae72261f51bb609/P0.jpg,https://www.depop.com/products/evil_tbink-vintage-2000s-baggy-bootcut-jeans-beba/
Gap,"34""",$16.99,vintage jeans,https://media-photos.depop.com/b1/229581665/3700401044_69e8621e28234ca19dbd5db849d28ab6/P0.jpg,https://www.depop.com/products/truckerdyet-y2k-gap-1969-relaxed-straight-7532/
Levi's,"30""",$25.00,vintage jeans,https://media-photos.depop.com/b1/19180086/3691261883_7ccabd260aa146538da85ffb141d13dc/P0.jpg,https://www.depop.com/products/cenargrod-vintage-levis-orange-tab-size-7a66/
Seven7,4,$9.30,vintage jeans,https://media-photos.depop.com/b1/48150639/3690348262_b10d2a39dda54e13b11f85c0fc651af3/P0.jpg,https://www.depop.com/products/taylon_valentine-vintage-lowrise-flare-seven-jeans-88d7/
Izod,L,$29.99,vintage jacket,https://media-photos.depop.com/b1/307038586/3693296731_7b71d6425d614f7aaf657caef1eb8117/P0.jpg,https://www.depop.com/products/tonyssuoremestore-vintage-y2k-velvet-izod-lactose-7570/
JCPenney,M,$29.99,vintage jacket,https://media-photos.depop.com/b1/307038586/3693304145_4b67805567e74239b942828a45c5f61d/P0.jpg,https://www.depop.com/products/tonyssu5remestore-vintage-70s-royal-navy-blue-7df0/
